CURRENCY,EUR-Euro,USD-US Dollar,JPY-Japanese Yen,CYP-Cypriot Pound,CZK-Czech Koruna,DKK-Danish Krone,EEK-Estonian kroon,GBP-British Pound,HUF-Hungarian Forint,LTL-Lithuanian Litas,LVL-Latvian lats,MTL-Maltese Lira,PLN-Polish Zloty,ROL-Romanian Old Leu,SEK-Swedish krona,SIT-Slovenian Tolar,SKK-Slovak Koruna,CHF-Swiss Franc,ISK-Iceland Krona,NOK-Norwegian Kroner,TRL-Turkish Old Lira,AUD-Australian Dollar,CAD-Canadian Dollar,HKD-Hong Kong Dollar,KRW-Korean Won,NZD-New Zealand Dollar,SGD-Singapore Dollar,ZAR-South African Rand,BGN-Bulgarian Lev,TRY-Turkish Lira,HRK-Croatian Kuna,RUB-Russian Rouble,CNY-Chinese Yuan Renminbi,IDR-Indonesian Rupiah,MYR-Malaysian Ringgit,PHP-Philippine Peso,THB-Thai Baht,RON-Romanian New Leu,BRL-Brazilian Real,MXN-Mexican peso,INR-Indian Rupee,AED-Utd. Arab Emir. Dirham
INR-Indian Rupee,94.4714,86.9415,0.58521,161.414,3.7725,12.6622,6.03782,112.458,0.23641,27.3608,134.421,220.059,22.5885,0.0019,8.55086,0.39422,3.13588,98.2004,0.64548,8.16012,0,54.9831,60.4896,11.1844,0.05986,49.9287,65.0746,4.77362,48.3365,2.36978,12.5473,1.01651,12.022,0.00532,19.5423,1.5155,2.58094,18.9878,15.1418,4.35977,1,23.6669
EUR-Euro,1,0.92009,0.00619,1.7086,0.03993,0.13402,0.06391,1.19023,0.0025,0.28962,1.42287,2.32937,0.23911,0.00002,0.0905,0.00417,0.03319,1.03829,0.00682,0.08628,0,0.58122,0.63936,0.1182,0.00063,0.52773,0.68782,0.05046,0.51129,0.02505,0.13272,0.01074,0.12707,0.00006,0.20656,0.01602,0.02728,0.2007,0.16004,0.04608,0.01057,0.25015
USD-US Dollar,1.08661,1,0.00673,1.85658,0.04339,0.14564,0.06945,1.29349,0.00272,0.3147,1.5461,2.53112,0.25981,0.00002,0.09835,0.00453,0.03607,1.1296,0.0073,0.09387,0,0.63247,0.69581,0.12865,0.00069,0.57433,0.74855,0.05491,0.55602,0.02726,0.14433,0.01169,0.13829,0.00006,0.22479,0.01743,0.02969,0.21842,0.17418,0.05015,0.0115,0.27224
JPY-Japanese Yen,161.425,148.542,1,275.81,6.44543,21.6337,10.3169,192.152,0.40391,46.7518,229.686,376.018,38.5932,0.00324,14.6094,0.67361,5.35831,167.898,1.10342,13.9493,0,93.936,103.404,19.1191,0.10233,85.3506,111.242,8.16026,82.6616,4.05102,21.4576,1.73768,20.551,0.00909,33.4065,2.59068,4.41199,32.4587,25.8842,7.45281,1.70906,40.4574
CYP-Cypriot Pound,0.58527,0.5385,0.00362,1,0.02337,0.07844,0.03741,0.69661,0.00146,0.16951,0.83277,1.36332,0.13994,0.00001,0.05297,0.00244,0.01943,0.60769,0.00399,0.0505,0,0.34017,0.3742,0.06918,0.00037,0.30887,0.40256,0.02953,0.29925,0.01466,0.07768,0.00629,0.07437,0.00003,0.12089,0.00938,0.01597,0.11746,0.09367,0.02697,0.00618,0.14641
CZK-Czech Koruna,25.0285,23.0315,0.15503,42.7637,1,3.35431,1.59961,29.791,0.06263,7.24875,35.6123,58.3007,5.98388,0.0005,2.26519,0.10444,0.83079,25.9446,0.17054,2.15591,0,14.5266,15.9814,2.95492,0.01582,13.1912,17.1928,1.26119,12.7748,0.6261,3.31613,0.26856,3.17622,0.00141,5.16309,0.4004,0.68189,5.0166,4.00049,1.15186,0.26414,6.25282
DKK-Danish Krone,7.46021,6.86443,0.0462,12.7465,0.29786,1,0.47679,8.87905,0.01867,2.16063,10.6149,17.3776,1.78347,0.00015,0.67513,0.03113,0.24763,7.74436,0.0509,0.64353,0,4.33612,4.77038,0.88203,0.00472,3.93752,5.13197,0.37646,3.81468,0.18689,0.99023,0.08017,0.94809,0.00042,1.54116,0.11952,0.20354,1.49743,1.19413,0.34382,0.07884,1.86644
EEK-Estonian Kroon,15.6466,14.3963,0.09691,26.7338,0.662475,2.09699,1,18.6231,0.03915,4.53157,22.2631,36.4468,3.74118,0.00031,1.41604,0.06529,0.51937,16.2457,0.10675,1.35,0,9.09406,10.0038,1.84939,0.0099,8.2572,10.762,0.78951,7.99998,0.39191,2.07666,0.16811,1.9882,0.00088,3.2319,0.25063,0.42684,3.1402,2.50415,0.72102,0.16534,3.91403
GBP-British Pound,0.83998,0.77292,0.0052,1.43519,0.03354,0.11257,0.05368,1,0.0021,0.24327,1.19519,1.95663,0.20081,0.00002,0.07602,0.00351,0.02788,0.87307,0.00574,0.07253,0,0.4887,0.53765,0.09941,0.00053,0.44378,0.5784,0.04243,0.42989,0.02106,0.11159,0.00904,0.10686,0.00005,0.1737,0.01347,0.02294,0.16877,0.13459,0.03875,0.00889,0.21036
HUF-Hungarian Forint,399.302,367.39,2.47292,682.249,15.9415,53.5066,25.5201,475.213,1,115.646,568.156,930.124,95.4525,0.00801,36.1335,1.66626,13.2544,413.783,2.71985,34.384,0.00001,231.68,254.883,47.1272,0.25224,210.383,274.203,20.1144,203.931,9.98547,52.9372,4.28324,50.6567,0.02241,82.3446,6.38582,10.8752,80.0083,63.8026,18.3706,4.2127,99.7244
